title,genres_clean,companies_names,director
pushing hands,"Comedy, Drama",Ang Lee Productions,Ang Lee
priest,"Drama, Romance","BBC Films, PolyGram Filmed Entertainment, Miramax",Antonia Bird
quiz show,"History, Drama","Wildwood Enterprises, Hollywood Pictures, Baltimore Pictures",Robert Redford
picture bride,"Drama, History","Cecile Company, Thousand Cranes Filmworks",Kayo Hatta
queen margot,"Drama, History","Renn Productions, Eurimages, Canal+, ARD/Degeto Film GmbH, D.A. Films, France2 Cinéma, WMG Film, Centre National de la Cinématographie (CNC), N.E.F. Filmproduktion und Vertriebs GmbH, Miramax, RCS Films & TV",Patrice Chéreau
the quick and the dead,"Action, Western",TriStar Pictures,Sam Raimi
prêt-à-porter,"Drama, Comedy",Miramax Films,Robert Altman
three colors: red,"Drama, Mystery, Romance","Zespół Filmowy TOR, Le Studio Canal+, France 3 Cinéma, Télévision Suisse-Romande",Krzysztof Kieślowski
three colors: blue,"Drama, Music, Mystery","France 3 Cinéma, CED Productions",Krzysztof Kieślowski
three colors: white,"Comedy, Drama, Mystery","Le Studio Canal+, France 3 Cinéma, Eurimages",Krzysztof Kieślowski
"red firecracker, green firecracker",Drama,no register,He Ping
rent-a-kid,"Comedy, Family, TV Movie",no register,Fred Gerber
relative fear,"Horror, Drama","Allegro Films, Norstar Entertainment, west wind entertainment",George Mihalka
stuart saves his family,"Comedy, Drama",Paramount Pictures,Harold Ramis
the swan princess,Animation,Rich Animation Studios,Richard Rich
the secret of roan inish,"Drama, Family, Fantasy","Jones Entertainment Group, Skerry Productions",John Sayles
the specialist,"Action, Thriller","Jerry Weintraub Productions, Warner Bros., Iguana Producciones",Luis Llosa
stargate,"Action, Adventure, Science Fiction","Centropolis Entertainment, StudioCanal, Carolco Entertainment",Roland Emmerich
the santa clause,"Fantasy, Drama, Comedy, Family","Walt Disney Pictures, Hollywood Pictures",John Pasquin
the shawshank redemption,"Drama, Crime","Castle Rock Entertainment, Warner Bros.",Frank Darabont
shallow grave,"Crime, Thriller","Channel Four Films, Figment Films, The Glasgow Film Fund, PolyGram Filmed Entertainment",Danny Boyle
suture,"Drama, Thriller",Kino Korsakoff,Scott McGehee
strawberry and chocolate,"Comedy, Drama","Miramax Films, Tabasco films, Instituto Mexicano de Cinematografía (IMCINE), TeleMadrid",Tomás Gutiérrez Alea
swimming with sharks,"Crime, Comedy","Cineville, Trimark Pictures",George Huang
the sum of us,"Comedy, Drama, Romance",Samuel Goldwyn Company,Kevin Dowling
senior trip,Comedy,"New Line Cinema, 1992 Number Four Limited Partnership, MHA",Kelly Makin
to live,"Drama, Romance, War","Shanghai Film Studios, Era International Ltd",Zhang Yimou
tank girl,"Action, Comedy, Fantasy, Science Fiction",Trilogy Entertainment Group,Rachel Talalay
tales from the crypt: demon knight,"Horror, Comedy, Thriller","Universal Pictures, Tales From The Crypt Holdings",Ernest R. Dickerson
star trek: generations,"Science Fiction, Action, Adventure, Thriller",Paramount Pictures,David Carson
tales from the hood,"Crime, Horror, Thriller","40 Acres & A Mule Filmworks, Savoy Pictures",Rusty Cundieff
tom & viv,"Drama, Romance",no register,Brian Gilbert
village of the damned,"Thriller, Horror, Science Fiction",Universal Pictures,John Carpenter
tommy boy,Comedy,Paramount Pictures,Peter Segal
vanya on 42nd street,"Drama, Romance",Sony Pictures Classics,Louis Malle
the underneath,"Thriller, Crime",Populist Pictures,Steven Soderbergh
the walking dead,"Drama, War","Savoy Pictures, Price Entertainment, Jackson/McHenry Company,The",Preston A. Whitmore II
what's eating gilbert grape,"Romance, Drama",Paramount Pictures,Lasse Hallström
virtuosity,"Action, Crime, Science Fiction, Thriller",Paramount Pictures,Brett Leonard
while you were sleeping,"Comedy, Drama, Romance","Caravan Pictures, Hollywood Pictures",Jon Turteltaub
the war,Drama,Universal Pictures,Jon Avnet
double happiness,"Comedy, Romance","Fine Line Features, Téléfilm Canada, First Generation Films, National Film Board of Canada (NFB), British Columbia Film Commission",Mina Shum
muriel's wedding,"Drama, Comedy, Romance","Ciby 2000, Film Victoria, House & Moorhouse Films",P.J. Hogan
the baby-sitters club,"Comedy, Drama, Family","Columbia Pictures Corporation, Beacon Pictures",Melanie Mayron
ace ventura: pet detective,"Comedy, Mystery","Warner Bros., Morgan Creek Productions",Tom Shadyac
"the adventures of priscilla, queen of the desert","Drama, Comedy",PolyGram Filmed Entertainment,Stephan Elliott
backbeat,"Drama, Music",Gramercy Pictures,Iain Softley
bitter moon,"Thriller, Drama, Romance","Fine Line Features, R.P. Productions, Columbia Pictures Corporation, Les Films Alain Sarde, Canal+, Timothy Burrill Productions",Roman Polanski
bullets over broadway,"Action, Comedy, Thriller",Miramax Films,Woody Allen
clear and present danger,"Action, Drama, Thriller","Paramount Pictures, Mace Neufeld Productions",Phillip Noyce
the client,"Drama, Thriller, Crime, Mystery","Regency Enterprises, Alcor Films, Warner Bros.",Joel Schumacher
"corrina, corrina","Comedy, Drama, Family, Romance",New Line Cinema,Jessie Nelson
crooklyn,"Comedy, Drama","Universal Pictures, 40 Acres & A Mule Filmworks",Spike Lee
the crow,"Fantasy, Action, Thriller","Miramax Films, Crowvision Inc., Entertainment Media Investment Corporation, Jeff Most Productions, Edward R. Pressman Film",Alex Proyas
cobb,Drama,"Regency Enterprises, Alcor Films, Warner Bros., Aleor Films",Ron Shelton
the flintstones,"Fantasy, Comedy, Family","Universal Pictures, Amblin Entertainment, Hanna-Barbera Productions",Brian Levant
forrest gump,"Comedy, Drama, Romance",Paramount Pictures,Robert Zemeckis
four weddings and a funeral,"Comedy, Drama, Romance","Channel Four Films, PolyGram Filmed Entertainment, Working Title Films",Mike Newell
higher learning,"Romance, Drama, Crime","Columbia Pictures Corporation, New Deal Productions",John Singleton
i like it like that,"Comedy, Drama, Romance","Columbia Pictures Corporation, Think Again Productions, Riot of Color",Darnell Martin
i love trouble,"Action, Comedy, Romance","Caravan Pictures, Touchstone Pictures",Charles Shyer
it could happen to you,"Comedy, Drama, Romance",TriStar Pictures,Andrew Bergman
the jungle book,"Adventure, Drama, Family",no register,Stephen Sommers
"the wonderful, horrible life of leni riefenstahl","Documentary, Foreign","Channel Four Films, Arte, Zweites Deutsches Fernsehen (ZDF), Nomad Films, Omega Film GmbH, Without Walls",Ray Müller
the lion king,"Family, Animation, Drama","Walt Disney Pictures, Walt Disney Feature Animation",Roger Allers
little buddha,"Drama, History",Miramax Films,Bernardo Bertolucci
new nightmare,"Horror, Thriller, Mystery, Fantasy",New Line Cinema,Wes Craven
the mask,"Romance, Comedy, Crime, Fantasy","New Line Cinema, Dark Horse Entertainment",Chuck Russell
maverick,"Action, Adventure, Comedy, Drama, Western","Icon Entertainment International, Warner Bros.",Richard Donner
mrs. parker and the vicious circle,Drama,"Fine Line Features, Miramax Films",Alan Rudolph
the naked gun 33⅓: the final insult,"Comedy, Crime",Paramount Pictures,Peter Segal
the paper,"Comedy, Drama","Imagine Entertainment, Universal Pictures",Ron Howard
reality bites,Drama,"Universal Pictures, Jersey Films",Ben Stiller
red rock west,"Crime, Drama, Thriller","Propaganda Films, PolyGram Filmed Entertainment",John Dahl
ri¢hie ri¢h,"Comedy, Family","Davis Entertainment, Silver Pictures, Warner Bros.",Donald Petrie
safe passage,Drama,New Line Cinema,Robert Allan Ackerman
the river wild,"Action, Adventure, Crime, Thriller","Universal Pictures, David Foster Productions, Turman-Foster Company",Curtis Hanson
speed,"Action, Adventure, Crime",Twentieth Century Fox Film Corporation,Jan de Bont
speechless,"Comedy, Romance",Metro-Goldwyn-Mayer (MGM),Ron Underwood
timecop,"Thriller, Science Fiction, Action, Crime","Universal Pictures, Renaissance Pictures, Dark Horse Entertainment, Largo Entertainment, Signature Pictures, JVC Entertainment Networks",Peter Hyams
true lies,"Action, Thriller","Twentieth Century Fox Film Corporation, Lightstorm Entertainment",James Cameron
when a man loves a woman,"Drama, Romance",Touchstone Pictures,Luis Mandoki
wolf,Fantasy,Columbia Pictures,Mike Nichols
wyatt earp,"Drama, Action, Western","Tig Productions, Warner Bros., Kasdan Pictures, Paragon Entertainment Corp.",Lawrence Kasdan
bad company,"Action, Crime, Romance, Thriller","Touchstone Pictures, Tool Shed Productions",Damian Harris
a man of no importance,"Comedy, Drama","BBC Films, Majestic Films International, Little Bird",Suri Krishnamma
s.f.w.,"Comedy, Drama","Gramercy Pictures, PolyGram Filmed Entertainment",Jefery Levy
a low down dirty shame,"Action, Comedy, Crime","Caravan Pictures, Hollywood Pictures",Keenen Ivory Wayans
"boys life: three stories of love, lust, and liberation",Drama,"Strand Releasing, Strand Home Video",Robert Lee King
colonel chabert,Drama,no register,Yves Angelo
"faster, pussycat! kill! kill!","Action, Crime",Eve Productions Inc.,Russ Meyer
jason's lyric,"Crime, Drama, Romance",no register,Doug McHenry
the secret adventures of tom thumb,"Animation, Science Fiction","Bolex Brothers, Lumen Films, Tara",Dave Borthwick
street fighter,"Action, Adventure, Thriller","Universal Pictures, Capcom",Steven E. de Souza
coldblooded,"Action, Comedy","Propaganda Films, Motion Picture Corporation of America (MPCA), Polygram Filmed Entertainment, Snowback Productions",Wallace Wolodarsky
desert winds,no register,no register,Michael A. Nickles
fall time,"Action, Adventure, Crime, Drama, Thriller","Live Entertainment, Capitol Films, Bates Entertainmant",Paul Warner
the fear,"Horror, Thriller","A-Pix Entertainment, Devin Entertainment",Vincent Robert
frank and ollie,Documentary,"Walt Disney Pictures, Theodore Thomas Productions",Theodore Thomas
girl in the cadillac,"Romance, Adventure, Crime, Drama",Overseas FilmGroup,Lucas Platt
homage,"Thriller, Drama","Skyline Entertainment Partners, Arrow",Ross Kagan Marks
mirage,"Action, Thriller",no register,Paul Williams
open season,Comedy,"Home Box Office (HBO), Frozen Rope Productions Inc.",Robert Wuhl
dos crímenes,no register,no register,Roberto Sneider
brother minister: the assassination of malcolm x,Documentary,no register,Jack Baxter
highlander: the final dimension,"Action, Fantasy, Science Fiction","Trans-Film, Initial Groupe, Lumière Pictures, Fallingcloud",Andrew Morahan
federal hill,no register,no register,Michael Corrente
in the mouth of madness,"Horror, Mystery, Thriller",New Line Cinema,John Carpenter
8 seconds,"Drama, Romance",New Line Cinema,John G. Avildsen
above the rim,"Crime, Drama",New Line Cinema,Jeff Pollack
addams family values,"Comedy, Family, Fantasy","Paramount Pictures, Orion Pictures, Scott Rudin Productions",Barry Sonnenfeld
martin lawrence: you so crazy,Comedy,HBO Independent Productions,Thomas Schlamme
the age of innocence,"Drama, Romance",Columbia Pictures,Martin Scorsese
airheads,"Comedy, Crime, Music","Twentieth Century Fox Film Corporation, Island World, Robert Simonds Productions",Michael Lehmann
the air up there,"Comedy, Family","Hollywood Pictures, PolyGram Filmed Entertainment, Interscope Communications, Nomura Babcock & Brown, NBB Unit One Film Partners, Longview Entertainment",Paul Michael Glaser
another stakeout,"Action, Comedy",Touchstone Pictures,John Badham
bad girls,"Action, Adventure, Comedy, Drama, Western","Twentieth Century Fox Film Corporation, Ruddy Morgan Organization, The",Jonathan Kaplan
barcelona,"Comedy, Drama, Romance","Fine Line Features, Castle Rock Entertainment, Barcelona Films",Whit Stillman
being human,"Drama, Comedy, Fantasy","Warner Bros., Enigma Productions, BSB, NatWest Ventures, Fujisankei",Bill Forsyth
the beverly hillbillies,Comedy,Twentieth Century Fox Film Corporation,Penelope Spheeris
beverly hills cop iii,"Action, Comedy, Crime","Paramount Pictures, Eddie Murphy Productions",John Landis
black beauty,"Action, Adventure, Drama, Family",Warner Bros.,Caroline Thompson
blink,"Mystery, Crime, Drama, Thriller",New Line Cinema,Michael Apted
blown away,"Drama, Action, Thriller","Trilogy Entertainment Group, Metro-Goldwyn-Mayer (MGM)",Stephen Hopkins
blue chips,Drama,Paramount Pictures,William Friedkin
blue sky,"Drama, Romance","Orion Pictures Corporation, Heathrow Productions",Tony Richardson
body snatchers,"Horror, Science Fiction, Thriller","Warner Bros., Dorset Productions, Robert H. Solo Productions",Abel Ferrara
boxing helena,"Drama, Romance",Mainline Pictures,Jennifer Chambers Lynch
a bronx tale,"Drama, Crime","HBO Films, Savoy Pictures",Robert De Niro
cabin boy,Comedy,Touchstone Pictures,Adam Resnick
calendar girl,"Drama, Comedy","Columbia Pictures, Parkway Productions",John Whitesell
carlito's way,"Action, Crime, Drama, Thriller","Universal Pictures, Epic Productions, Bregman/Baer Productions",Brian De Palma
city slickers ii: the legend of curly's gold,"Action, Comedy, Drama, Western","Columbia Pictures, Castle Rock Entertainment",Paul Weiland
clean slate,"Comedy, Thriller, Mystery",Metro-Goldwyn-Mayer (MGM),Mick Jackson
cliffhanger,"Action, Adventure, Thriller","TriStar Pictures, Canal+, Carolco Pictures, RCS Video, Cliffhanger Productions, Pioneer",Renny Harlin
coneheads,"Comedy, Science Fiction, Family",Paramount Pictures,Steve Barron
color of night,"Drama, Mystery, Romance, Thriller","Hollywood Pictures, Cinergi Pictures Entertainment",Richard Rush
cops & robbersons,"Action, Comedy, Family",TriStar Pictures,Michael Ritchie
the cowboy way,"Western, Action, Comedy","Imagine Entertainment, Universal Pictures",Gregg Champion
dangerous game,Drama,"Metro-Goldwyn-Mayer (MGM), Maverick Picture Company, Cecchi Gori Europa N.V., Eye Productions, Pentamerica",Abel Ferrara
dave,Comedy,"Donner/Shuler-Donner Productions, Warner Bros., Northern Lights Entertainment",Ivan Reitman
dazed and confused,"Comedy, Drama","Gramercy Pictures, Alphaville Productions, The Criterion Collection",Richard Linklater
demolition man,"Crime, Action, Science Fiction","Silver Pictures, Warner Bros.",Marco Brambilla
the endless summer 2,Documentary,no register,Bruce Brown
even cowgirls get the blues,"Western, Drama, Comedy, Romance",Fine Line Features,Gus Van Sant
fatal instinct,Comedy,Metro-Goldwyn-Mayer (MGM),Carl Reiner
farewell my concubine,Drama,"Beijing Film Studio, China Film Co-Production Corporation, Maverick Picture Company",Chen Kaige
the favor,"Drama, Comedy, Romance","Orion Pictures, Nelson Entertainment",Donald Petrie
fearless,Drama,"Spring Creek Productions, Warner Bros.",Peter Weir
fear of a black hat,Comedy,no register,Rusty Cundieff
with honors,"Comedy, Drama","Spring Creek Productions, Warner Bros.",Alek Keshishian
flesh and bone,"Drama, Mystery, Romance","Paramount Pictures, Spring Creek Productions, Mirage",Steve Kloves
widows' peak,"Comedy, Thriller, Mystery, Romance, Foreign",Fine Line Features,John Irvin
for love or money,"Comedy, Romance","Universal Studios, Imagine Entertainment",Barry Sonnenfeld
the firm,"Drama, Mystery, Thriller","Paramount Pictures, Mirage Enterprises, Davis Entertainment",Sydney Pollack
free willy,"Family, Adventure","Canal Plus, Regency Enterprises, Alcor Films, Warner Bros., Donner/Shuler-Donner Productions",Simon Wincer
fresh,"Crime, Drama, Thriller",Miramax Films,Boaz Yakin
the fugitive,"Adventure, Action, Thriller, Crime, Mystery",Warner Bros.,Andrew Davis
geronimo: an american legend,"History, Action, Drama, Western",Columbia Pictures,Walter Hill
